Fotos,Name,Hersteller,Kalorien in kcal
,Race,Ludwig Schokolade GmbH und Co. KG,467.0
,Choco Bits,Ludwig Schokolade GmbH und Co. KG,452.0
,Coconut Bits,Ludwig Schokolade GmbH und Co. KG,481.0
,GET'IT,Ludwig Schokolade GmbH und Co. KG,484.0
,Crispy Bits,Ludwig Schokolade GmbH und Co. KG,485.0
,Hazelnut Bits,Ludwig Schokolade GmbH und Co. KG,486.0
,Peanut Bits,Ludwig Schokolade GmbH und Co. KG,499.0
,Choco & Caramel,Mister Choc,459.0
,Peanut & Choco,Mister Choc,500.0
,Smooth Caramel Bites,Choco Fun,450.0
,Caramel Choco,Choco Bella,484.0
,Caramel & Biscuts Bites,Choco Fun,498.0
,Peanuts & Caramel Bites,Choco Fun,498.0
,Peanut Choco,Choco Bella,500.0
,Creamy,Ludwig Schokolade GmbH und Co. KG,459.0
,Peanuts MINIS,Natra Chocolate International S.L.,504.0
,SIMBA minis,Natra Chocolate International S.L.,512.0
,Crack 'n' Snack,HG GmbH,530.0
,Mars,Mars GmbH,449.0
,MILKYWAY,MARS GmbH,451.0
,Snickers,Mars GmbH,481.0
,Lion White,Nestlé,485.0
,Bounty,Mars GmbH,487.0
,Twix,Mars GmbH,492.0
,Nuts,Nestlé,492.0
,nutella B-ready,Ferrero,521.0
,KitKat Einzelriegel Classic 4-Finger-Riegel,Nestlé,521.0
,Knoppers NussRiegel,Storck,535.0
,Daim Riegel,Mondelez,536.0
,Hanuta,Ferrero,542.0
,Milka und Oreo,Mondelez,548.0
,Knoppers,Storck,551.0
,Douplo,Ferrero,555.0
,Kinder Country,Ferrero,561.0
,Kinder Riegel,Ferrero,566.0
,Yogurette,Ferrero,571.0
,Kinder bueno,Ferrero,572.0
